compound_inchikey	scaffold_group	development_fold
GXDALQBWZGODGZ-UHFFFAOYSA-N	ring:c1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccccc3)CC2)cc1	4
GXJABQQUPOEUTA-UHFFFAOYSA-N	ring:O=C(NCCc1ccccc1)c1cnccn1	0
GXMJXGUEPXEOGR-UHFFFAOYSA-N	ring:C1CC2COC3(CCCC3C1)C2	2
GXXQKJQWMVPECM-UHFFFAOYSA-N	ring:O=C1CCCC1	2
GYALTOSSVLCVLA-UHFFFAOYSA-N	ring:C=C1CC23CC1CCC2C1CCCCC1C3	2
GYDPOKGOQFTYGW-UHFFFAOYSA-N	acyclic_connectivity:CC(C)=CCS	1
GYNWSIBKBBWJJW-UHFFFAOYSA-N	ring:C1CCC(OC2CCC3C(CCC4C5CCCC5CCC34)C2)OC1	3
GZDFOOAFMQSYOV-UHFFFAOYSA-N	ring:O=c1[nH]c(=O)n(CC2CCCCC2)c2[nH]cnc12	1
GZKLJWGUPQBVJQ-UHFFFAOYSA-N	ring:O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccccc23)CC1	3
GZLMBIJQZKTHPV-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OCCC3CCCC(OC4CC(OC5CCCOC5)OCC4OC4CC(OC5CCCCO5)CCO4)O3)O2)OC1	3
GZUITABIAKMVPG-UHFFFAOYSA-N	ring:O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12	4
GZVBVBMMNFIXGE-UHFFFAOYSA-N	ring:c1ccc(C2CCCNC2)cc1	0
GZXHBOYNBUVMSN-UHFFFAOYSA-N	ring:C1CCC(OCC2CCC(OC3CCCCO3)C(OC3CCOC(OC4CCC5C(CCC6C5CCC5C7CCCOC78CC65CO8)C4)C3OC3CCCCO3)O2)OC1	0
HAFVWTUQBYRPOB-UHFFFAOYSA-N	ring:C1=C2CCCCC2C2CCC3CCCC3C2C1	4
HAGXFSMJELVHFJ-UHFFFAOYSA-N	acyclic_connectivity:CCCCC=CCC(=O)OC	1
HAPOVYFOVVWLRS-UHFFFAOYSA-N	ring:O=C1CCC(=O)N1	0
HAQDEJPEAKWAAM-UHFFFAOYSA-N	ring:C1=CC(c2ccccc2)CC=N1	1
HASDUOHKNMHNJA-UHFFFAOYSA-N	ring:C1=CC(OC2CCCCO2)CC1	2
HAZHUELNIGDYQH-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
HBJXRRXWHSHZPU-UHFFFAOYSA-N	acyclic_connectivity:CCC=CCC=CCC=CCCCCCCCC(=O)NCCO	1
HCAJEUSONLESMK-UHFFFAOYSA-N	ring:C1CCCCC1	3
HCDLRJUFVJOBJP-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)CCCCCCCCCCCCCCC	4
HCYAFALTSJYZDH-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCc1ccccc1N2	3
HDOZVRUNCMBHFH-UHFFFAOYSA-N	ring:C1=Cc2ccccc2Sc2ccccc21	4
HEBKCHPVOIAQTA-UHFFFAOYSA-N	acyclic_connectivity:OCC(O)C(O)C(O)CO	1
HEFNNWSXXWATRW-UHFFFAOYSA-N	ring:c1ccccc1	0
HELXLJCILKEWJH-UHFFFAOYSA-N	ring:C=C1CC23CCC4C(C(=O)OC5CCCCO5)CCCC4C2CCC1(OC1OCCC(OC2CCCCO2)C1OC1CCCCO1)C3	2
HEQOJEGTZCTHCF-UHFFFAOYSA-N	ring:c1ccccc1	0
HEURTYMJWQPWNN-UHFFFAOYSA-N	ring:O=C1C=CCC(CCc2ccccc2)O1	3
HEZVPSGPLFBHPM-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCC(OC5OCCCC5OC5CCCCO5)CC4OC4CCCCO4)CCC3C2C1	2
HGBOYTHUEUWSSQ-UHFFFAOYSA-N	acyclic_connectivity:CCCCC=O	0
HGCIXCUEYOPUTN-UHFFFAOYSA-N	ring:C1=CCCCC1	3
HGFOOLONGOBCMP-UHFFFAOYSA-N	ring:O=C1N(CCCc2ccc3c(n2)NCCC3)CCN1Cc1cccnc1	1
HGNHQSKMZKBHFD-UHFFFAOYSA-N	ring:O=C1CCC(=O)C1	4
HHJTWTPUPVQKNA-UHFFFAOYSA-N	ring:C1CCOCC1	3
HHTDENYTSCXDFO-UHFFFAOYSA-N	ring:O=S(=O)(CCc1ccc2[nH]cc(CC3CCCN3)c2c1)c1ccccc1	4
HIIZAGQWABAMRR-UHFFFAOYSA-N	acyclic_connectivity:CC(C)C(C(=O)O)C(=O)C(=O)O	3
HITOYGLMAFIRNI-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC=CCCCCCCCCCC(=O)OC(CCC(=O)[O-])[N+](C)(C)C	3
HIVURPVQOPPNFN-UHFFFAOYSA-N	ring:O=c1c(OC2CCCCO2)c(-c2ccccc2)oc2ccccc12	3
HJQFQTJAYYPCLS-UHFFFAOYSA-N	ring:O=C1CC2(CCCO2)C2CCC3=C(CCC4CCCCC34)C12	0
HKGIBDSDBMXMPQ-UHFFFAOYSA-N	ring:O=C1CCC2C(=CCC3C2CCC2C3CC3OCOC32)C1	4
HKODIGSRFALUTA-UHFFFAOYSA-N	ring:C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23	3
HKPHPIREJKHECO-UHFFFAOYSA-N	ring:c1ccccc1	0
HKQYGTCOTHHOMP-UHFFFAOYSA-N	ring:O=c1c(-c2ccccc2)coc2ccccc12	4
HKSDVVJONLXYKL-UHFFFAOYSA-N	ring:C1CO1	1
HKXBNHCUPKIYDM-UHFFFAOYSA-N	ring:C=C1CCCCC1=CC=C1CCCC2CCCC12	3
HKZLBRDLYJTOGY-UHFFFAOYSA-N	ring:O=C1COC(OC2CCCC3C4=CCC5C6CCC(OC7OCCCC7OC7OCCCC7OC7CCCCO7)CC6CCC5C4CCC23)CC1=O	0
HMHUAIBCBWBCHQ-UHFFFAOYSA-N	ring:O=C1CCCC(CC2CCC3C2CCC2C4C(=O)CC=CC4C4OC4C32)O1	1
HMLGXKHWABZSIS-UHFFFAOYSA-N	ring:C=C1CC2CCCCC2CC1=O	1
HMMGKOVEOFBCAU-UHFFFAOYSA-N	ring:O=C1C=C2C3CCCCC3CCC2C2CCC3CCCCC3C12	1
HMNSRTLZAJHSIK-UHFFFAOYSA-N	ring:C1CCNC1	1
HMUQOIXFEUBMNQ-UHFFFAOYSA-N	ring:O=C(c1ccccc1)c1cccs1	4
HNJBEVLQSNELDL-UHFFFAOYSA-N	ring:O=C1CCCN1	4
HNUQFUOHQQOEPG-UHFFFAOYSA-N	acyclic_connectivity:CCC=CCC(=O)OCC[N+](C)(C)C	1
HOKDBMAJZXIPGC-UHFFFAOYSA-N	ring:c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2	4
HOMGKSMUEGBAAB-UHFFFAOYSA-N	ring:O=[PH]1NCCCO1	3
HOYCFQHBCYQYKR-UHFFFAOYSA-N	ring:O=C1COC(OC2CCCC3C4=CCC5C6CCC(OC7OCCCC7OC7OCCCC7OC7CCCCO7)CC6CCC5C4CCC23)CC1=O	0
HPDMOAVMIUMIAG-UHFFFAOYSA-N	ring:c1cc(CCCCCCCCCCCCCC2CCCO2)co1	2
HQABUPZFAYXKJW-UHFFFAOYSA-N	acyclic_connectivity:CCCCN	4
HQKQRXZEXPXXIG-UHFFFAOYSA-N	ring:C1CC2CC3CCCC3(C1)C2	0
HQUVEBJUUSKUCJ-UHFFFAOYSA-N	ring:C(=CCCC=CCOC1CCCCO1)CCC=CCCCOC1CCCCO1	1
HSCZLQOPSGMKTK-UHFFFAOYSA-N	acyclic_connectivity:CCCC(=O)OCCCSC	4
HSHUHVOEMVTVRS-UHFFFAOYSA-N	acyclic_connectivity:C=CCCCCC(C)O	4
HSIBGVUMFOSJPD-UHFFFAOYSA-N	ring:c1ccc2c3c([nH]c2c1)C1CC2CCC1N(CC3)C2	1
HSJYPHSHRSXMEI-UHFFFAOYSA-N	ring:O=c1[nH]c2nc[nH]c2c(=O)n1CC1CCCO1	3
HSUGRBWQSSZJOP-UHFFFAOYSA-N	ring:O=C1CC(c2ccccc2)Sc2ccccc2N1	4
HSXROUAAHWNUBX-UHFFFAOYSA-N	ring:O=C1C=CCO1	0
HUNXMJYCHXQEGX-UHFFFAOYSA-N	ring:c1ccc(-c2ccnc3ccnn23)cc1	4
HVIBGVJOBJJPFB-UHFFFAOYSA-N	ring:O=C(C1CCCN1)N1CCCC1	3
HVKCEFHNSNZIHO-UHFFFAOYSA-N	ring:C=C1c2ccccc2COc2ccccc21	2
HVLXXQDJGPKVMK-UHFFFAOYSA-N	ring:C1=C2c3cc4[nH]c5c(c4cc3CC2COC1)CC1CCC2C3=CCCOC3CCC2C51	3
HVPFXCBJHIIJGS-UHFFFAOYSA-N	acyclic_connectivity:CN=C(NC)NCCCC(N)C(=O)O	3
HVZJRWJGKQPSFL-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)(C)OC	1
HVZWFRMKXRRMBK-UHFFFAOYSA-O	ring:c1ccc2c(c1)CC[NH+]1c3ccccc3CC21	4
HWMGTNOVUDIKRE-UHFFFAOYSA-N	ring:c1ccccc1	0
HWOZEJJVUCALGB-UHFFFAOYSA-N	ring:O=c1nc[nH]c2c1NCCN2	4
HXBAELAEMDXAJM-UHFFFAOYSA-N	ring:O=C1CCCC1	2
HXHWSAZORRCQMX-UHFFFAOYSA-N	ring:c1ccc2[nH]cnc2c1	4
HXJOYVPESRRCDB-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC(=O)OCC(C)C	2
HXWNRESJYUCPRA-UHFFFAOYSA-N	ring:O=C(C1CCCN1)N1CCCC1	3
HXWUJJADFMXNKA-UHFFFAOYSA-N	acyclic_connectivity:CC(C)CC(NC(=O)C(N)CC(N)=O)C(=O)O	2
HYDKUVPEVOHALC-UHFFFAOYSA-N	ring:c1ccc(CCN2CCN(CCCc3cc4cc(-n5cnnc5)ccc4[nH]3)CC2)cc1	4
HYKWMZVCUBUWMM-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
HYSBJYIGYSBFQN-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)SCC=C(C)C	3
HYXQKVOADYPQEA-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)C(N)C(=O)NC(CCCN=C(N)N)C(=O)O	4
HYYBABOKPJLUIN-UHFFFAOYSA-N	ring:c1ccc(Nc2ccccc2)cc1	4
HZCWPKGYTCJSEB-UHFFFAOYSA-N	ring:c1ccc2c(c1)Nc1cccc3[nH]nc-2c13	2
HZKLXXZXIMSELS-UHFFFAOYSA-N	ring:C1=CC(c2ccccc2)CC=N1	1
IAKHMKGGTNLKSZ-UHFFFAOYSA-N	ring:O=c1cccc2c(c1)CCCc1ccccc1-2	2
IAKOZHOLGAGEJT-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
IAQRGUVFOMOMEM-UHFFFAOYSA-N	acyclic_connectivity:CC=CC	3
IBAQFPQHRJAVAV-UHFFFAOYSA-N	ring:C1CCNCC1	4
IBOFVQJTBBUKMU-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
IBSLHWQWKUNIJE-UHFFFAOYSA-N	acyclic_connectivity:CC=C(C=O)CSC	2
ICBJCVRQDSQPGI-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCOC	1
ICCHEGCKVBMSTF-UHFFFAOYSA-N	ring:O=C1CNC(=O)CN1	4
ICEDBMJSTNTMIT-UHFFFAOYSA-N	ring:O=C1Cc2ccccc2OC1c1ccccc1	4
ICFJFFQQTFMIBG-UHFFFAOYSA-N	ring:c1ccccc1	0
ICIIMFRGWJJFIH-UHFFFAOYSA-N	ring:C1=Cc2ccccc2OC1	3
ICRSYPPLGADZKA-UHFFFAOYSA-N	ring:c1ccc(-c2ccnn2-c2ccccc2)cc1	2
ICXVGHUORQNRQF-UHFFFAOYSA-N	ring:C1=CC2C3CNCC24c2c(cccc2OC4C1)C3	2
ICYUIIJXZHPESK-UHFFFAOYSA-N	ring:c1ccccc1	0
IDBPHNDTYPBSNI-UHFFFAOYSA-N	ring:O=c1[nH]nnn1CCN1CCC(Nc2ccccc2)CC1	3
IDJXJAJYEFRBPY-UHFFFAOYSA-N	ring:O=C1CC2C3CCC(OC4CCC(OC5CC(OC6CCCCO6)C(OC6OCCCC6OC6CCCCO6)CO5)CO4)CC3CCC2C2CC3OC(CCCCOC4CCCCO4)CC3C12	2
IDRDZZHQLBFQMN-UHFFFAOYSA-N	ring:C1CCOCC1	3
IECRXMSGDFIOEY-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
IEHFWLFCKJUZHC-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCCCCCC(O)CC(O)CCCCCCC	1
IGIDLTISMCAULB-UHFFFAOYSA-N	acyclic_connectivity:CCC(C)CC(=O)O	2
IGQBPDJNUXPEMT-UHFFFAOYSA-N	acyclic_connectivity:CC(C)CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	2
IHPKGUQCSIINRJ-UHFFFAOYSA-N	acyclic_connectivity:C=CC(C)=CCC=C(C)C	1
IJJKRFDBPRPLQQ-UHFFFAOYSA-N	ring:C1CCC(COC2CCCCO2)CC1	2
IKBKZGMPCYNSLU-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
IKHGUXGNUITLKF-UHFFFAOYSA-N	acyclic_connectivity:CC=O	3
IKMPWMZBZSAONZ-UHFFFAOYSA-N	ring:S=C1CN=C(c2ccccc2)c2ccccc2N1	2
IKUQEFGEUOOPGY-UHFFFAOYSA-N	ring:O=c1ccc2ccc(OC3CCCCO3)cc2o1	1
ILDAKDTXKZPGJC-UHFFFAOYSA-N	acyclic_connectivity:C=CC(C)(O)CC(=O)C=C(C)C	4
ILMMRHUILQOQGP-UHFFFAOYSA-N	ring:O=C1NCSC1Cc1ccccc1	4
ILMQWRCMVKIVFV-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CCCCC3C2C1	4
ILSMDNVBZYGMDG-UHFFFAOYSA-N	acyclic_connectivity:CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)NCC(=O)O	1
IMSSROKUHAOUJS-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCC1C2CCC2CCCC21	3
INGSNVSERUZOAK-UHFFFAOYSA-N	ring:c1ccc(CC2CCCCN2)cc1	4
INVWRXWYYVMFQC-UHFFFAOYSA-N	ring:c1ccccc1	0
IOWMKBFJCNLRTC-UHFFFAOYSA-N	ring:C1=C2CCCCC2C2CCC3CCCC3C2C1	4
IOXKXMFPMHDABX-UHFFFAOYSA-N	ring:c1ccccc1	0
IPCSVZSSVZVIGE-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCCCCCCCCCCC(=O)O	4
IPOBOOXFSRWSHL-UHFFFAOYSA-N	ring:c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1	4
IPOIBBMZOXJYFV-UHFFFAOYSA-N	ring:C1=CC(OC2CCCCO2)CCC1	3
IPZHIWYVRSTEKX-UHFFFAOYSA-N	ring:O=C1CCC2C3=C(CCC2C1)C1C(=O)CC2(CCCO2)C1CC3	4
IQPSEEYGBUAQFF-UHFFFAOYSA-N	ring:c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1	3
IQRQEGPSHLXODZ-UHFFFAOYSA-N	ring:C1CCC(OC2CCCOC2)OC1	4
IQUFSXIQAFPIMR-UHFFFAOYSA-N	ring:c1ccccc1	0
IQUMPOPXFXDEJZ-UHFFFAOYSA-N	ring:O=C(OC1C2CCCC(=CC(=O)C3CCC4OCC4C31)C2)c1ccccc1	4
IQWPEJBUOJQPDE-UHFFFAOYSA-N	ring:O=c1oc2ccccc2cc1Cc1ccccc1	3
IRLWJILLXJGJTD-UHFFFAOYSA-N	ring:O=C(NCc1ccc(OCCc2coc(-c3ccccc3)n2)cc1)Oc1ccccc1	1
IROINLKCQGIITA-UHFFFAOYSA-N	ring:c1ncncn1	1
IRYJRGCIQBGHIV-UHFFFAOYSA-N	ring:O=C1COC(=O)N1	0
ISBYPYUIOMMYGS-UHFFFAOYSA-N	ring:O=C(OCC=Cc1ccccc1)C1C=NC=CC1c1ccccc1	1
ISGIJSAAZOHCAE-UHFFFAOYSA-N	ring:C(=CCCC=CCOC1CCCCO1)CCC=CCCCOC1CCCCO1	1
ISSKLTGTEWBALZ-UHFFFAOYSA-N	ring:C1CCC(OC2CC3C4CC5OC(C3C2)C2C5CCC42)OC1	4
ISWSIDIOOBJBQZ-UHFFFAOYSA-N	ring:c1ccccc1	0
ISZNZKHCRKXXAU-UHFFFAOYSA-N	ring:c1ccccc1	0
ITTILXNWLDHOGR-UHFFFAOYSA-N	ring:O=C(OC1OCCCC1OC1CC(OC2CC(OC3CCCCO3)CCO2)C(OC2CCCCO2)CO1)C12CCCCC1C1=CCC3C4CCC(OC5OCCC(OC6CCCCO6)C5OC5CCCCO5)CC4CCC3C1CC2	2
IUBSYMUCCVWXPE-UHFFFAOYSA-N	ring:c1ccccc1	0
IUGDILGOLSSKNE-UHFFFAOYSA-N	ring:c1ccc(Cc2ccccc2)cc1	2
IVBOBIWEQHPIEN-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OC3CC(OC4CCCOC4)OCC3OC3CC(OC4CC(OC5CCCCO5)CCO4)CCO3)O2)OC1	1
IVSZLXZYQVIEFR-UHFFFAOYSA-N	ring:c1ccccc1	0
IVVNZDGDKPTYHK-UHFFFAOYSA-N	ring:N=c1cc[nH]cc1	2
IWAUXKQGXMTXLR-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
IWDCLRJOBJJRNH-UHFFFAOYSA-N	ring:c1ccccc1	0
IWIANZLCJVYEFX-UHFFFAOYSA-N	ring:O=C(NCCc1ccccc1)C1CCCN1	4
IWJBVMJWSPZNJH-UHFFFAOYSA-N	ring:C1CCOCC1	3
IWPOSDLLFZKGOW-UHFFFAOYSA-N	acyclic_connectivity:CCCCC=CCC(=O)O	0
IXAPYQICIDTITB-UHFFFAOYSA-N	ring:c1ccc2c(c1)Cc1ccccc1N1CCNCC21	3
IXRPKRWXUJOOBZ-UHFFFAOYSA-N	ring:C1C2CC3C1C3C2	4
IYFNEFQTYQPVOC-UHFFFAOYSA-N	ring:O=c1nc(-c2cccc(S(=O)(=O)NCCC3CCCN3)c2)[nH]c2cn[nH]c12	3
IYIKLHRQXLHMJQ-UHFFFAOYSA-N	ring:O=C(c1ccccc1)c1coc2ccccc12	4
IYRMWMYZSQPJKC-UHFFFAOYSA-N	ring:O=c1cc(-c2ccccc2)oc2ccccc12	1
IYYGBZJXHJSLEV-UHFFFAOYSA-N	ring:O=c1[nH]cc(Cc2ccc(OCCc3ccccn3)cc2)s1	2
IZBNNCFOBMGTQX-UHFFFAOYSA-N	ring:O=c1[nH]cnn1CCCN1CCN(c2ccccc2)CC1	4
IZRHKURJIQCXMT-UHFFFAOYSA-N	ring:c1ccc(CNC2CCCNC2c2ccccc2)cc1	0
IZVFFXVYBHFIHY-UHFFFAOYSA-N	ring:C1=C2C3CCCC3CCC2C2CCCCC2C1	2
IZXJPGLOYYDHRM-UHFFFAOYSA-N	ring:c1ccc2ncccc2c1	2
IZYVWRVNTCGCKC-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)OCC1CCC(OC2CCCCO2)C(Oc2c(-c3ccccc3)oc3cc(OC4CCCCO4)ccc3c2=O)O1	4
JACPUZOKPSTMTK-UHFFFAOYSA-N	ring:c1ccc(CN2CCCCC2)cc1	3
JAQGKXUEKGKTKX-UHFFFAOYSA-N	ring:O=C(CCc1ccccc1)NCCc1ccccc1	3
JAZBEHYOTPTENJ-UHFFFAOYSA-N	acyclic_connectivity:CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O	4
JAZJDNUIJLZFSZ-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)NC(CSC(F)=C(OCF)C(F)F)C(=O)O	3
JBBNVKWFZYFPIG-UHFFFAOYSA-N	ring:O=c1ccc2cc3ccoc3cc2o1	2
JBCLFWXMTIKCCB-UHFFFAOYSA-N	ring:c1ccccc1	0
JBDGDEWWOUBZPM-UHFFFAOYSA-N	ring:c1ccc(CNC2CCCCC2)cc1	3
JBFWMELKDTZMHB-UHFFFAOYSA-N	ring:C1CCC(OCCC2CCCC(OC3CC(OC4CCCOC4)OCC3OC3CC(OC4CC(OC5CCCCO5)CCO4)CCO3)O2)OC1	1
JBFYFLXEJFQWMU-UHFFFAOYSA-N	acyclic_connectivity:NC(=O)CCC(NC(=O)CCC(N)C(=O)O)C(=O)O	1
JBIJLHTVPXGSAM-UHFFFAOYSA-N	ring:c1ccc2ccccc2c1	4
JBIMVDZLSHOPLA-UHFFFAOYSA-N	ring:C=C1c2ccccc2COc2ccccc21	2
JBYXPOFIGCOSSB-UHFFFAOYSA-N	acyclic_connectivity:CCCCCCC=CC=CCCCCCCCC(=O)O	2
JCCNYMKQOSZNPW-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	0
JECYUBVRTQDVAT-UHFFFAOYSA-N	ring:c1ccccc1	0
JEEOZKGYSUUAAU-UHFFFAOYSA-N	ring:c1cscn1	3
JEGUVXRNDRXUDN-UHFFFAOYSA-N	ring:C=C1CCC2CCCCC2C1	4
JEJFTTRHGBKKEI-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCCCc1ccccc1-2	4
JEYCTXHKTXCGPB-UHFFFAOYSA-N	ring:O=c1c2ccccc2ncn1-c1ccccc1	1
JFAPKKOOIAVSGI-UHFFFAOYSA-N	ring:C1=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4OCCC(OC5CCCCO5)C4OC4CCCCO4)CCC3C2C1	0
JFKCVAZSEWPOIX-UHFFFAOYSA-N	ring:C1CCCCC1	3
JFTBERIHMIFXML-UHFFFAOYSA-N	ring:C1CCC(OCC2CCC3C2CCC2C4CCCCC4CCC23)OC1	3
JGEGJYXHCFUMJF-UHFFFAOYSA-N	acyclic_connectivity:CC(C)CCC=O	4
JGFONUZHXXBGTF-UHFFFAOYSA-N	ring:c1ccccc1	0
JGWUTUVYGXAJGV-UHFFFAOYSA-N	ring:C1CCC(OC2CCOC(OC3CCOC(OC4CCOCC4)C3)C2)OC1	1
JHKXZYLNVJRAAJ-UHFFFAOYSA-N	acyclic_connectivity:CSCCC(N)C(=O)NC(C)C(=O)O	3
JHYXBPPMXZIHKG-UHFFFAOYSA-N	ring:O=C1c2ccccc2OCC1c1ccccc1	3
JIFNDZCDNLFAKC-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
JJGYGPZNTOPXGV-UHFFFAOYSA-N	ring:C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5	3
JKKGTSUICJWEKB-UHFFFAOYSA-N	acyclic_connectivity:CCC=CCCOC(=O)C(C)CC	3
JKQXZKUSFCKOGQ-UHFFFAOYSA-N	ring:C(=CC=CC=CC=CC=CC1=CCCCC1)C=CC=CC=CC=CC1=CCCCC1	4
JLDWWSSQBYGULG-UHFFFAOYSA-N	ring:C1=CCC(COC2CCCCO2)CC1	1
JLFOTJPFBATTLK-UHFFFAOYSA-N	ring:C(=CC=CC=CC=CC1C=C2CCCCC2O1)C=CC=CC=CC1C=C2CCCCC2O1	3
JLKIGFTWXXRPMT-UHFFFAOYSA-N	ring:O=S(=O)(Nc1ccon1)c1ccccc1	3
JLRGJRBPOGGCBT-UHFFFAOYSA-N	ring:c1ccccc1	0
JLWXUZXYUMVXPU-UHFFFAOYSA-N	ring:C=C1CCC2CCC3C(CCC4C5CCCCC5CCC43)C2C1	0
JMFNGSBVJBPGQR-UHFFFAOYSA-N	acyclic_connectivity:COC(=O)C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=O	0
JMHLBSSARRMERO-UHFFFAOYSA-N	ring:c1cc(C2CCC3C2CCC2C4CCC(OC5CCC(OC6CCCC(COC7CCCCO7)O6)CO5)CC4CCC23)co1	0
JMWCPXJWKKIWQK-UHFFFAOYSA-N	ring:O=C(C=Cc1ccccc1)c1cccc(C2C=CCC(c3ccccc3)C2C(=O)c2ccccc2)c1	2
JMZOMFYRADAWOG-UHFFFAOYSA-N	ring:c1cc2c(c(-c3cccc4c3OCO4)c1)OCO2	1
JNGQUJZDVFZPEN-UHFFFAOYSA-N	ring:O=C(NC(=O)c1ccccc1)Nc1ccc(Oc2ncccn2)cc1	2
JNTHRSHGARDABO-UHFFFAOYSA-N	ring:c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34	3
JNUGGJHCMRWUDV-UHFFFAOYSA-N	acyclic_connectivity:NC(CC[S+]([O-])CC(N)C(=O)O)C(=O)O	0
JOFWLTCLBGQGBO-UHFFFAOYSA-N	ring:c1ccc(C2=NCc3nncn3-c3ccccc32)cc1	4
JOZKFWLRHCDGJA-UHFFFAOYSA-N	acyclic_connectivity:CC(=O)OCCC(C)CCC=C(C)C	2
JPGQOUSTVILISH-UHFFFAOYSA-N	acyclic_connectivity:FC(F)OC(F)(F)C(F)Cl	4
JPQIKXKRKWQQOU-UHFFFAOYSA-N	ring:O=C1CC2C(CCC3C2CCC2C4CC5(CCCCO5)OC4CC23)CC1OC1CCC(OC2OCCC(OC3CCCCO3)C2OC2CC(OC3CCCCO3)CCO2)CO1	0
JQWKHGNSUWEYOR-UHFFFAOYSA-N	ring:O=C1OCC2OC(=O)c3ccccc3-c3cccc4c3C(=O)OC(C2OC(=O)c2ccccc2-c2ccccc21)C1OC(=O)C2C4C(=O)C(=O)C23Oc2cc4oc(=O)c5cccc6oc(=O)c(c2C13)c4c65	2
JRXHHEVIGCDJBO-UHFFFAOYSA-N	ring:C1CC2CCC34CC35CCCCC5CCC4C2C1	4
JSJMNXVHBCPZCJ-UHFFFAOYSA-N	ring:C1=C2CC(OC3CCCC(COC4CCCCO4)O3)CCC2C2CCC3CCCC3C2C1	1
JSNVJPLVHIOLEM-UHFFFAOYSA-N	ring:C=C1CCC2CCCCC2C1	4
JTAGHJPZEDNHHA-UHFFFAOYSA-N	ring:O=C(CNc1ccccc1)NCCc1ccccc1	3
JTEJPPKMYBDEMY-UHFFFAOYSA-N	ring:c1ccc2[nH]ccc2c1	4
JTJMJGYZQZDUJJ-UHFFFAOYSA-N	ring:c1ccc(C2(N3CCCCC3)CCCCC2)cc1	3
JTWMBPZRYBLNNG-UHFFFAOYSA-N	ring:O=c1ccc2ccccc2o1	1
JURKNVYFZMSNLP-UHFFFAOYSA-N	ring:C=C1c2ccccc2C=Cc2ccccc21	4
JUVIOZPCNVVQFO-UHFFFAOYSA-N	ring:O=C1c2ccc3c(c2OC2COc4ccccc4C12)CCO3	0
JWHAUXFOSRPERK-UHFFFAOYSA-N	ring:O=C(CCc1ccccc1)c1ccccc1	2
JWMFYGXQPXQEEM-UHFFFAOYSA-N	ring:C1CCC2C(C1)CCC1C3CCCC3CCC21	2
JWPGJSVJDAJRLW-UHFFFAOYSA-N	ring:c1ccc2c(c1)CCNC2	1
JXHJNEJVUNHLKO-UHFFFAOYSA-N	ring:c1ccccc1	0
JXSJBGJIGXNWCI-UHFFFAOYSA-N	acyclic_connectivity:CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC	4
JYGXADMDTFJGBT-UHFFFAOYSA-N	ring:O=C1C=C2CCC3C4CCCC4CCC3C2CC1	1
